ID Proceso,Tiempo de Llegada,Duraci칩n de la R치faga,Inicio de Ejecuci칩n,Fin de Ejecuci칩n
1,19,10,19,29
2,58,8,58,66
3,29,11,66,77
4,65,8,77,85
5,61,8,85,93
6,62,12,93,105
7,63,7,105,112
8,56,3,112,115
9,27,15,115,130
10,72,9,130,139
11,52,16,139,155
12,64,10,155,165
13,15,4,165,169
14,50,14,169,183
15,38,6,183,189
16,56,14,189,203
17,49,19,203,222
18,56,10,222,232
19,39,15,232,247
20,50,6,247,253
21,63,14,253,267
22,34,9,267,276
23,44,11,276,287
24,70,7,287,294
25,42,15,294,309
26,54,11,309,320
27,24,16,320,336
28,29,7,336,343
29,47,6,343,349
30,66,19,349,368
